p_lat	p_lng
41.9923	9.8073
42.0573	9.6489
42.0769	9.4706
42.0615	8.9875
42.2207	8.1611
42.0882	9.5211
42.0583	9.6497
41.6819	7.3861
42.0521	9.6398
42.0846	9.5382
42.2931	9.4313
41.7137	7.2636
41.7262	7.1774
42.123	7.5
42.1284	9.0695
44.6997	23.9109
44.8553	23.8266
42.2552	9.3121
42.9975	8.4665
42.1612	9.5377
42.2336	8.0974
41.7597	7.553
42.0888	9.7463
42.1535	9.5874
42.108	9.7164
42.1727	9.4087
42.3137	8.0966
42.1841	9.4592
42.1546	9.5882
42.1483	9.5783
42.3888	9.3685
41.8046	7.1999
42.0759	9.5648
42.7134	7.6618
42.2234	9.0068
43.5516	17.4129
43.5516	17.4129
32.6277	9.5396
32.586	9.4798
32.3594	9.7391
41.9625	9.6803
42.0214	8.3261
41.5504	7.779
41.8678	9.968
41.8872	9.9384
41.9396	9.1501
42.1014	8.3262
41.9344	9.8111
41.9281	9.8011
42.1698	9.5944
41.5972	7.4275
42.0062	9.2324
40.7177	10.7414
41.0082	11.6661
41.2598	13.0366
40.7177	10.7414
33.3489	8.1301
41.5108	10.5929
41.4082	10.7368
41.5776	10.8574
41.2553	11.0649
41.3418	10.5962
41.518	9.7851
41.2076	11.1324
41.223	9.9469
41.254	10.9826
41.3978	10.5716
41.407	10.6797
41.4768	10.5914
29.9505	8.2078
41.8067	8.6967
41.6395	9.9858
41.7826	9.7585
41.6003	10.0301
41.8867	8.6973
41.6794	10.3113
41.8619	10.3339
41.8049	10.0616
41.788	9.5997
41.6869	10.2857
42.551	16.8955
43.7464	16.7865
43.7101	15.3404
43.9476	15.9868
43.9931	15.5316
43.3314	16.0061
43.6555	15.5525
43.3409	15.4761
43.4856	15.7848
40.6323	11.0232
41.1757	12.7516
41.1502	11.7967
41.1705	12.7614
41.2153	11.9358
41.017	11.7993
40.9179	11.9492
40.8711	12.289
40.6807	11.2209
40.6323	11.0232
41.031	11.9941
42.0977	9.5079
42.1518	8.1506
42.004	9.7968
42.069	9.6383
42.0885	9.46
42.2318	8.1501
42.0998	9.5104
42.07	9.6391
42.0638	9.6292
42.0962	9.5275
41.7245	7.2528
42.1399	9.0588
42.0791	9.4659
41.9993	9.6131
41.9841	9.6901
42.0053	9.6095
42.0631	8.2543
41.5917	7.7075
41.9107	9.8975
41.9762	9.7396
41.9301	9.8678
41.9962	9.5616
41.9819	9.0789
42.1431	8.2543
42.0073	9.612
41.9772	9.7404
41.971	9.7305
42.0037	9.6291
42.2124	9.5232
42.0486	9.1612
32.2457	10.2023
30.9307	10.0769
33.1512	8.3506
40.6218	10.9513
41.2192	11.953
41.1273	11.8391
40.8347	12.239
41.0393	11.9411
41.1522	11.0365
41.1545	13.2468
40.8622	12.2165
40.6705	11.1489
41.0217	11.9214
42.0774	9.5266
