Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment
124	Cypridea compta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
125	Cypridea compta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
126	Cypridea compta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
127	Cypridea compta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
128	Cypridea compta	42.0851	-110.9571	42.8039	-68.6857	105	110	NAm
129	Cypridea dequeenensis	34.0579	-93.6919	31.5003	-53.5215	100.5	113	NAm
130	Cypridea dequeenensis	35.4389	-75.5764	29.2684	-36.3925	100.5	113	NAm
131	Cypridea dequeenensis	32.8445	-97.7842	31.6115	-56.0007	106.8	113	NAm
132	Cypridea diminuta	42.8328	-108.7322	43.7424	-65.4892	98	124	NAm
133	Cypridea diminuta	43.1259	-109.6248	44.2034	-66.2506	98	124	NAm
134	Cypridea diminuta	43.0803	-108.8969	44.0131	-65.5564	98	124	NAm
135	Cypridea diminuta	34.0579	-93.6919	31.5003	-53.5215	100.5	113	NAm
136	Cypridea diminuta	35.4389	-75.5764	29.2684	-36.3925	100.5	113	NAm
137	Cypridea diminuta	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm
138	Cypridea diminuta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
139	Cypridea diminuta	43.1621	-111.2249	43.8979	-68.6255	105	110	NAm
140	Cypridea diminuta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
141	Cypridea diminuta	43.2985	-110.7824	43.959	-68.1467	105	110	NAm
142	Cypridea diminuta	32.8445	-97.7842	31.6115	-56.0007	106.8	113	NAm
143	Cypridea diminuta	42.7931	-111.0745	43.5563	-66.2744	110	115	NAm
144	Cypridea diminuta	42.9933	-111.0328	43.7455	-66.1756	110	115	NAm
145	Cypridea laeli	44.3906	-104.6724	43.9952	-57.5373	106.7	117.2	NAm
146	Cypridea laeli	44.3906	-104.6724	43.9775	-59.3907	106.7	110	NAm
147	Cypridea laevigata	41.7909	-107.2356	39.6783	-56.0952	130	140	NAm
148	Cypridea laevigata	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm
149	Cypridea laevigata	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm
150	Cypridea laevigata	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm
151	Cypridea laevigata	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm
152	Cypridea laevigata	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm
153	Cypridea laevigata	43.4071	-103.4354	40.3573	-51.9207	132.6	142.4	NAm
154	Cypridea laevigata	43.4333	-103.4844	40.3906	-51.9586	132.6	142.4	NAm
155	Cypridea laevigata	44.3906	-104.6724	41.5171	-52.776	132.6	142.4	NAm
156	Cypridea laevigata	44.4776	-103.6248	41.4316	-51.778	132.6	142.4	NAm
157	Cypridea laevigata	43.3425	-103.7026	40.3375	-52.1889	132.6	142.4	NAm
158	Cypridea laevigata	43.3615	-103.421	40.3112	-51.9208	132.6	142.4	NAm
159	Cypridea laevigata	43.2802	-103.4191	40.2309	-51.9429	132.6	142.4	NAm
160	Cypridea laevigata	38.8756	-109.4465	37.0376	-62.9415	133.7	142.5	NAm
161	Cypridea laevigata	38.8302	-109.7634	37.041	-63.2561	133.7	142.5	NAm
162	Cypridea longispina	41.7909	-107.2356	39.6783	-56.0952	130	140	NAm
163	Cypridea longispina	43.3516	-103.6045	40.3311	-52.0939	132.6	142.4	NAm
164	Cypridea longispina	43.4107	-103.4455	40.363	-51.9297	132.6	142.4	NAm
165	Cypridea longispina	43.3505	-103.6263	40.3327	-52.1149	132.6	142.4	NAm
166	Cypridea longispina	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm
167	Cypridea longispina	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm
168	Cypridea longispina	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm
169	Cypridea longispina	43.3912	-103.3852	40.3336	-51.8789	132.6	142.4	NAm
170	Cypridea longispina	43.4071	-103.4354	40.3573	-51.9207	132.6	142.4	NAm
171	Cypridea longispina	43.4333	-103.4844	40.3906	-51.9586	132.6	142.4	NAm
172	Cypridea longispina	43.3516	-103.6045	40.3311	-52.0939	132.6	142.4	NAm
173	Cypridea longispina	44.3906	-104.6724	41.5171	-52.776	132.6	142.4	NAm
174	Cypridea longispina	43.2802	-103.4191	40.2309	-51.9429	132.6	142.4	NAm
175	Cypridea longispina	38.8756	-109.4465	37.0376	-62.9415	133.7	142.5	NAm
176	Cypridea longispina	38.8302	-109.7634	37.041	-63.2561	133.7	142.5	NAm
177	Cypridea menevoides	35.4389	-75.5764	29.2684	-36.3925	100.5	113	NAm
178	Cypridea minuta	43.2786	-103.6292	42.3934	-55.4026	113	117.2	NAm
179	Cypridea minuta	43.5087	-103.3379	42.5549	-55.04	113	117.2	NAm
180	Cypridea minuta	43.4773	-103.3027	42.5171	-55.0191	113	117.2	NAm
181	Cypridea minuta	43.4435	-103.4627	42.518	-55.1829	113	117.2	NAm
182	Cypridea nitidula	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm
183	Cypridea nitidula	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm
184	Cypridea nitidula	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
185	Cypridea nitidula	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
186	Cypridea nitidula	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
187	Cypridea nitidula	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
188	Cypridea nitidula	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
189	Cypridea obesa	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm
190	Cypridea obesa	42.7883	-108.7826	43.7094	-65.5561	98	124	NAm
191	Cypridea obesa	42.8761	-108.773	43.792	-65.513	98	124	NAm
192	Cypridea obesa	43.2786	-103.6292	42.3934	-55.4026	113	117.2	NAm
193	Cypridea pecki	40.6461	-116.1353	40.0321	-67.1232	113	121.4	NAm
194	Cypridea piedmonti	44.4517	-103.6503	41.867	-52.0266	123.6	142.4	NAm
195	Cypridea piedmonti	44.3834	-103.862	41.3775	-52.0265	132.6	142.4	NAm
196	Cypridea piedmonti	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm
197	Cypridea piedmonti	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm
198	Cypridea piedmonti	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm
199	Cypridea piedmonti	43.3797	-103.6042	40.3584	-52.0857	132.6	142.4	NAm
200	Cypridea piedmonti	44.2747	-103.3746	41.1934	-51.6075	132.6	142.4	NAm
201	Cypridea piedmonti	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm
202	Cypridea piedmonti	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm
203	Cypridea piedmonti	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm
204	Cypridea piedmonti	44.2747	-103.3746	41.1934	-51.6075	132.6	142.4	NAm
205	Cypridea piedmonti	44.2747	-103.3746	41.1934	-51.6075	132.6	142.4	NAm
206	Cypridea piedmonti	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm
207	Cypridea quadrata	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm
208	Cypridea quadrata	42.7883	-108.7826	43.7094	-65.5561	98	124	NAm
209	Cypridea quadrata	42.8763	-108.7997	43.7974	-65.5393	98	124	NAm
