Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment	region	globe
99	Cypridea_tchibodaensis	-4.2331	11.4665	-15.4251	-3.9033	121.4	122.3	WAf	NA	NA
100	Cypridea_tertia	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf	WAfSAm	NA
101	Cypridea_tucanoensis	0.1609	10.058	-8.8594	-3.6099	134	141.9	WAf	WAfSAm	NA
102	Cypridea_ultima	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf	WAfSAm	NA
103	Cypridea_ventronodata	0.1609	10.058	-9.2545	-3.454	130.9	138.4	WAf	WAfSAm	NA
104	Cypridea_ventronodata	-2.166	9.4905	-10.9397	-5.1828	130.9	138.4	WAf	WAfSAm	NA
105	Cypridea_yakokoensis	0.0341	24.0999	-18.2125	10.2357	116.1	121.7	WAf	WAfSAm	NA
106	Paracypridea_brasiliensis	0.1609	10.058	-9.2545	-3.454	130.9	138.4	WAf	WAfSAm	NA
107	Paracypridea_elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf	WAfSAm	NA
108	Paracypridea_elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf	WAfSAm	NA
109	Paracypridea_elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf	WAfSAm	NA
110	Paracypridea_maacki	0.1609	10.058	-9.1767	-3.4847	132.2	138.4	WAf	WAfSAm	NA
111	Paracypridea_obovata	0.1609	10.058	-10.0089	-3.156	125.8	130.9	WAf	WAfSAm	NA
112	Paracypridea_similis	0.1609	10.058	-9.7694	-3.2507	128.5	132.2	WAf	WAfSAm	NA
113	Cypridea_brevicornis	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm	NA	Global
114	Cypridea_brevicornis	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm	NA	Global
115	Cypridea_brevicornis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
116	Cypridea_brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
117	Cypridea_brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
118	Cypridea_brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
119	Cypridea_brevicornis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
120	Cypridea_compta	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm	NA	Global
121	Cypridea_compta	42.8763	-108.7997	43.7974	-65.5393	98	124	NAm	NA	Global
122	Cypridea_compta	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm	NA	Global
123	Cypridea_compta	42.7728	-107.2523	42.8732	-62.9635	105	110	NAm	NA	NA
124	Cypridea_compta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
125	Cypridea_compta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
126	Cypridea_compta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
127	Cypridea_compta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
128	Cypridea_compta	42.0851	-110.9571	42.8039	-68.6857	105	110	NAm	NA	Global
129	Cypridea_dequeenensis	34.0579	-93.6919	31.5003	-53.5215	100.5	113	NAm	NA	NA
130	Cypridea_dequeenensis	35.4389	-75.5764	29.2684	-36.3925	100.5	113	NAm	NA	NA
131	Cypridea_dequeenensis	32.8445	-97.7842	31.6115	-56.0007	106.8	113	NAm	NA	NA
132	Cypridea_diminuta	42.8328	-108.7322	43.7424	-65.4892	98	124	NAm	NA	Global
133	Cypridea_diminuta	43.1259	-109.6248	44.2034	-66.2506	98	124	NAm	NA	Global
134	Cypridea_diminuta	43.0803	-108.8969	44.0131	-65.5564	98	124	NAm	NA	Global
135	Cypridea_diminuta	34.0579	-93.6919	31.5003	-53.5215	100.5	113	NAm	NA	NA
136	Cypridea_diminuta	35.4389	-75.5764	29.2684	-36.3925	100.5	113	NAm	NA	NA
137	Cypridea_diminuta	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm	NA	Global
138	Cypridea_diminuta	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
139	Cypridea_diminuta	43.1621	-111.2249	43.8979	-68.6255	105	110	NAm	NA	Global
140	Cypridea_diminuta	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
141	Cypridea_diminuta	43.2985	-110.7824	43.959	-68.1467	105	110	NAm	NA	Global
142	Cypridea_diminuta	32.8445	-97.7842	31.6115	-56.0007	106.8	113	NAm	NA	NA
143	Cypridea_diminuta	42.7931	-111.0745	43.5563	-66.2744	110	115	NAm	NA	Global
144	Cypridea_diminuta	42.9933	-111.0328	43.7455	-66.1756	110	115	NAm	NA	Global
145	Cypridea_laeli	44.3906	-104.6724	43.9952	-57.5373	106.7	117.2	NAm	NA	NA
146	Cypridea_laeli	44.3906	-104.6724	43.9775	-59.3907	106.7	110	NAm	NA	NA
147	Cypridea_laevigata	41.7909	-107.2356	39.6783	-56.0952	130	140	NAm	NA	Global
148	Cypridea_laevigata	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm	NA	NA
149	Cypridea_laevigata	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm	NA	NA
150	Cypridea_laevigata	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm	NA	NA
151	Cypridea_laevigata	43.3573	-103.6872	40.3495	-52.1696	132.6	142.4	NAm	NA	NA
152	Cypridea_laevigata	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm	NA	NA
153	Cypridea_laevigata	43.4071	-103.4354	40.3573	-51.9207	132.6	142.4	NAm	NA	NA
154	Cypridea_laevigata	43.4333	-103.4844	40.3906	-51.9586	132.6	142.4	NAm	NA	NA
155	Cypridea_laevigata	44.3906	-104.6724	41.5171	-52.776	132.6	142.4	NAm	NA	NA
156	Cypridea_laevigata	44.4776	-103.6248	41.4316	-51.778	132.6	142.4	NAm	NA	Global
157	Cypridea_laevigata	43.3425	-103.7026	40.3375	-52.1889	132.6	142.4	NAm	NA	NA
158	Cypridea_laevigata	43.3615	-103.421	40.3112	-51.9208	132.6	142.4	NAm	NA	NA
159	Cypridea_laevigata	43.2802	-103.4191	40.2309	-51.9429	132.6	142.4	NAm	NA	NA
160	Cypridea_laevigata	38.8756	-109.4465	37.0376	-62.9415	133.7	142.5	NAm	NA	Global
161	Cypridea_laevigata	38.8302	-109.7634	37.041	-63.2561	133.7	142.5	NAm	NA	Global
162	Cypridea_longispina	41.7909	-107.2356	39.6783	-56.0952	130	140	NAm	NA	Global
163	Cypridea_longispina	43.3516	-103.6045	40.3311	-52.0939	132.6	142.4	NAm	NA	NA
164	Cypridea_longispina	43.4107	-103.4455	40.363	-51.9297	132.6	142.4	NAm	NA	NA
165	Cypridea_longispina	43.3505	-103.6263	40.3327	-52.1149	132.6	142.4	NAm	NA	NA
166	Cypridea_longispina	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm	NA	NA
167	Cypridea_longispina	43.3427	-103.5981	40.3214	-52.0909	132.6	142.4	NAm	NA	NA
168	Cypridea_longispina	43.3574	-103.6716	40.347	-52.1556	132.6	142.4	NAm	NA	NA
169	Cypridea_longispina	43.3912	-103.3852	40.3336	-51.8789	132.6	142.4	NAm	NA	NA
170	Cypridea_longispina	43.4071	-103.4354	40.3573	-51.9207	132.6	142.4	NAm	NA	NA
