Age	GMST_Judd
138.7085951	27.66445698
139.1940992	27.14702018
139.9501072	27.27113775
141.2196717	26.98792876
142.5204226	26.91253529
143.8718647	27.0156835
145.1179908	27.19841771
146.4160294	27.27944741
147.6765752	27.10349315
148.3013534	26.44754648
148.6677107	26.71813859
149.2697756	26.28008711
149.9757261	25.94573929
150.0605508	25.49015062
150.6719459	25.54508173
151.2899711	25.11542571
151.4679349	24.72479462
152.0582423	24.48930047
152.1996973	24.69771636
153.2716453	24.35231985
154.4924899	24.16173342
155.9657376	24.14552106
157.2427743	24.16008926
158.4051728	24.06342656
159.2649633	23.72433682
159.3384387	23.29500871
159.9515099	23.37508651
160.1480481	22.60534726
160.3991941	23.00421704
160.7304952	22.201643
160.757062	22.60932223
161.193466	21.81475976
161.3426741	22.26262317
161.6556508	21.4110555
161.7889244	21.84088494
162.0034684	21.13350882
162.3839738	21.40409072
162.8368839	20.95329784
163.0461353	20.28404777
163.4284544	20.59344443
163.9162689	20.20330692
164.3305059	19.45981824
164.5414929	19.85715633
164.755136	19.11031502
165.1927767	19.52945189
165.5977176	19.04047044
165.6245588	18.52108569
165.956799	18.23188445
165.9948428	18.01657551
166.5985248	18.30486176
166.7381705	18.65367649
166.9724109	17.80429851
167.8681147	19.2430141
167.9842163	18.01855446
168.1935268	18.48598852
168.3235309	19.98126958
168.4694571	18.81473248
168.6327807	19.2460312
168.8936374	20.60028277
168.9883015	19.53775559
169.1224438	19.92057376
169.1495268	20.92908681
169.6267826	20.36534932
169.8734035	20.90266518
170.2960927	21.33796003
170.8243239	21.7231677
171.5793184	22.06387302
172.3373329	22.46123942
173.0403204	22.82043004
173.1662528	23.24454567
173.836251	23.24379807
174.3152868	23.81346964
174.781657	23.60026058
175.4378908	23.9597709
175.9946782	24.57971341
176.2651777	24.31283927
176.9892624	24.70298219
177.1042558	25.16214091
177.7654643	25.15712353
178.5405234	25.52961458
178.7053959	25.96954942
179.4755944	26.02968422
180.6461528	26.32391205
181.9662827	26.26493111
183.1871979	25.95447423
183.4134449	25.49295412
184.2507718	25.51899998
184.437247	25.09766036
185.2131156	25.0897341
185.4408745	24.69956311
186.3712312	24.694321
187.6494045	24.35023465
188.9608625	24.10567523
190.2802783	24.03141217
191.4748663	24.07391496
192.0713705	24.27128771
193.1991446	24.36073989
193.7779224	24.61382935
194.8509881	24.73354155
195.7153217	24.98284872
196.94248	25.05372184
198.1864531	24.99042466
199.1495053	24.67219262
199.6632749	24.08559621
199.9280722	24.31907081
200.6457077	23.94882686
200.7803001	23.54059546
201.4513979	23.57563301
201.9334069	23.19582704
202.8290318	22.8131274
203.193273	22.41911464
204.1535936	22.38105923
205.4381817	22.17424879
206.7090319	22.22964927
207.129357	22.51390997
208.2502905	22.69886329
208.6938783	23.03260094
209.3408458	23.00878304
209.6745766	23.43062811
210.4282656	23.43663502
211.3026804	23.7262222
211.6164811	24.06691154
212.6627587	24.1525919
